8.115311000000000377e+02 1.790000000000000000e+03
8.006156700000000228e+02 1.753000000000000000e+03
7.724207199999999602e+02 1.648000000000000000e+03
7.635105999999999540e+02 1.615000000000000000e+03
7.503869099999999435e+02 1.568000000000000000e+03
7.383980500000000120e+02 1.525000000000000000e+03
7.067218100000000049e+02 1.412000000000000000e+03
6.965430699999999433e+02 1.375000000000000000e+03
4.764864600000000223e+02 6.070000000000000000e+02
4.277528199999999856e+02 4.380000000000000000e+02
4.198317000000000121e+02 4.120000000000000000e+02
