6.163590000000000373e+02 1.250000000000000000e+02
6.217279999999999518e+02 1.700000000000000000e+02
6.266499999999999773e+02 2.500000000000000000e+02
6.334429999999999836e+02 3.700000000000000000e+02
6.382989999999999782e+02 4.570000000000000000e+02
6.402250000000000227e+02 4.910000000000000000e+02
6.506530000000000200e+02 6.750000000000000000e+02
6.532880000000000109e+02 7.220000000000000000e+02
6.598949999999999818e+02 8.410000000000000000e+02
6.678279999999999745e+02 9.840000000000000000e+02
6.717039999999999509e+02 1.056000000000000000e+03
6.929470000000000027e+02 1.454000000000000000e+03
7.032409999999999854e+02 1.654000000000000000e+03
7.173940000000000055e+02 1.940000000000000000e+03
